budget_id,area_sqm,tier,line_item,amount_cny,calc_basis,source_nature,source_refs,assumption_flag,notes
CX_300_标准品质型_0066,300,标准品质型,门头招牌,15000,门头灯箱/发光字档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0067,300,标准品质型,软装装饰,10200,300×40×软装系数0.85,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0068,300,标准品质型,软件系统,8000,排课/家校/收银SaaS首年,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0069,300,标准品质型,开业耗材,5000,清洁/办公/一次性开业包,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0070,300,标准品质型,房租押金,18000,按中位大面积租金假设30元/㎡/月×300㎡×押2个月；锚large_space_rent_samples中位≈32.5与v2≈30.6,model_assumption,large_space_rent_samples;local_rent_2026,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0071,300,标准品质型,转让费预备,50000,经济型假设空铺0；标准/高端预留面议转让,model_assumption,RENT_* transfer_fee多面议,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0072,300,标准品质型,加盟费(单列不计入装修),0,加盟费单独列示，绝不混入装修小计；经济/标准按直营0；高端示例列20万brand_claim量级,model_assumption,REN贝尔加盟18-60万量级仅作高端示例,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0073,300,标准品质型,开业人工(筹备期),12000,筹备3人×1月×4000；锚labor_cost_2026老师区间,derived_from_sample,labor_cost_2026,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0074,300,标准品质型,开业营销,15000,地推/体验课/物料,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_0075,300,标准品质型,预备金(12%),73806,对装修+设备+开办核心小计615050×12%；不含押金/转让/加盟费,model_assumption,Issue要求10-15%,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_标准品质型_TOTAL,300,标准品质型,合计(含押金转让加盟预备金),756856,核心(装修设备开办)≈615050+预备金73806+押金18000+转让50000+加盟0,model_assumption,sum,model_assumption,加盟费0已单列可剥离；装修相关核心(不含押金转让加盟预备)≈615050
CX_300_高端型_0077,300,高端型,设计费,18000,硬装造价×3%；硬装单价2000元/㎡×300㎡,model_assumption,industry_rule_of_thumb,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0078,300,高端型,拆除工程,9000,300㎡×25元/㎡(旧装拆除)；高端×1.2,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0079,300,高端型,水电改造,83077,300㎡×180元/㎡×档位系数1.54,model_assumption,REN_002含水电厨房量级参照,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0080,300,高端型,墙地面天花,270000,硬装主体约45%：2000×0.45×300,model_assumption,REN_003/REN_015单价锚,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0081,300,高端型,隔墙隔断,36923,300×80元/㎡×档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0082,300,高端型,消防工程,39600,300×120元/㎡；含灭火器喷淋报建预备,model_assumption,REG_SD_004消防审验驱动,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0083,300,高端型,厨房装修,69231,厨区18㎡×2500元/㎡×档位,model_assumption,REN_001含水电厨房,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0084,300,高端型,排烟系统,45000,商用排烟管道+风机套餐(档位),model_assumption,REN_014询价缺口补工程假设,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0085,300,高端型,燃气开户与改造,20000,开户+管内改造估,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0086,300,高端型,给排水改造,12000,300×40元/㎡,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0087,300,高端型,厕所洁具与防水,12000,厕位套数随面积档,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0088,300,高端型,空调,33600,300×80元/㎡×设备系数1.4,model_assumption,REN_012设备包参照,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0089,300,高端型,新风,25200,300×60元/㎡×设备系数；公开价目缺失(REN_013/F_005),model_assumption,REN_013未找到价目→工程假设,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0090,300,高端型,照明,20769,300×45元/㎡×档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0091,300,高端型,监控,8000,摄像头+硬盘录像机套装,model_assumption,REN_012含监控未单列,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0092,300,高端型,门禁,9000,门禁读头+电锁,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0093,300,高端型,网络弱电,4500,300×15元/㎡布线+光猫路由,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0094,300,高端型,桌椅,6300,35套×120元/套×档位；锚REN_009(80-150),derived_from_sample,REN_009,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0095,300,高端型,午休床,19250,35张×单价(经济叠叠床~100/标准架子床~350/高端~550)；锚REN_006/007,derived_from_sample,REN_006;REN_007,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0096,300,高端型,床品,8750,35套×250元；锚REN_008(200-300),derived_from_sample,REN_008,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0097,300,高端型,储物柜,3920,35格×80×设备系数,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0098,300,高端型,厨电灶具,21000,灶具+油烟机+消毒柜基础包×1.4,model_assumption,REN_014,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0099,300,高端型,冰箱冷柜,6000,双门冰箱+留样冷藏,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0100,300,高端型,消毒柜/消毒设备,4200,餐具消毒柜,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0101,300,高端型,留样冰箱/留样设备,1500,食安留样专用,model_assumption,REG_SD食品管理驱动,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0102,300,高端型,餐具,1400,35人份×40元,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0103,300,高端型,办公家具电器,6000,前台桌椅电脑打印×软装系数1.2,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0104,300,高端型,门头招牌,35000,门头灯箱/发光字档位,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0105,300,高端型,软装装饰,14400,300×40×软装系数1.2,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0106,300,高端型,软件系统,20000,排课/家校/收银SaaS首年,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0107,300,高端型,开业耗材,5000,清洁/办公/一次性开业包,model_assumption,,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0108,300,高端型,房租押金,18000,按中位大面积租金假设30元/㎡/月×300㎡×押2个月；锚large_space_rent_samples中位≈32.5与v2≈30.6,model_assumption,large_space_rent_samples;local_rent_2026,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0109,300,高端型,转让费预备,100000,经济型假设空铺0；标准/高端预留面议转让,model_assumption,RENT_* transfer_fee多面议,model_assumption,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
CX_300_高端型_0110,300,高端型,加盟费(单列不计入装修),200000,加盟费单独列示，绝不混入装修小计；经济/标准按直营0；高端示例列20万brand_claim量级,brand_claim,REN贝尔加盟18-60万量级仅作高端示例,brand_claim,设计在册人数代理n=35仅用于家具设备规模，非断言300㎡可合法/舒适容纳n人；山东实测装修招标样本不足见F_006
