scenario_id,students,fill_rate,arpu_month,service_mix,monthly_revenue,gross_profit,cash_profit,accounting_profit,breakeven_students,breakeven_arpu,capex_payback_months,total_invest_payback_months,assumptions,notes
UE_2200_40,20,40,2200,品质全日+小班辅导成分,44000,38940,8240,1021,16,1788,117.1,117.1,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2200_60,30,60,2200,品质全日+小班辅导成分,66000,58411,21420,12993,16,1486,45.0,45.0,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2200_80,40,80,2200,品质全日+小班辅导成分,88000,77880,34895,25007,16,1328,27.6,27.6,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2200_100,50,100,2200,品质全日+小班辅导成分,110000,97351,46685,34830,16,1267,20.7,20.7,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2500_20,10,20,2500,高端全日托,25000,22470,-6290,-13509,14,3129,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2500_40,20,40,2500,高端全日托,50000,44940,14240,7021,14,1788,67.7,67.7,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2500_60,30,60,2500,高端全日托,75000,67411,30420,21993,14,1486,31.7,31.7,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2500_80,40,80,2500,高端全日托,100000,89880,46895,37007,14,1328,20.6,20.6,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_2500_100,50,100,2500,高端全日托,125000,112351,61685,49830,14,1267,15.6,15.6,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_3000_20,10,20,3000,高端全日+增值课包(合规需避免学科培训变相),30000,27470,-1290,-8509,11,3129,,,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_3000_40,20,40,3000,高端全日+增值课包(合规需避免学科培训变相),60000,54940,24240,17021,11,1788,39.8,39.8,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_3000_60,30,60,3000,高端全日+增值课包(合规需避免学科培训变相),90000,82411,45420,36993,11,1486,21.2,21.2,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_3000_80,40,80,3000,高端全日+增值课包(合规需避免学科培训变相),120000,109880,66895,57007,11,1328,14.4,14.4,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
UE_3000_100,50,100,3000,高端全日+增值课包(合规需避免学科培训变相),150000,137351,86685,74830,11,1267,11.1,11.1,设计容量50人@约400㎡标准品质代理店；OPEX取monthly_opex_model；CAPEX回收基准=964680(400㎡标准品质型合计含押金)；租金含于OPEX中位大面积假设；毛利扣食材×1.15；非选址结论,规划模型非实测；高ARPU需注意鲁政办发〔2026〕8号禁止变相培训
