gross_area_sqm,model,physical_max_students,standard_comfort_students,premium_students,suitable_40_full_day,reuse_conditions,legal_vs_physical_vs_quality_note,assumption_flag,notes
300,B标准舒适,78,32,23,no,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈78人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈32人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈23人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为300㎡=40人事实；CAP样本多为brand_claim/口述
300,C品质高端,78,32,23,no,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈78人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈32人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈23人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为300㎡=40人事实；CAP样本多为brand_claim/口述
350,A紧凑复用,92,37,27,yes,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈92人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈37人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈27人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为350㎡=40人事实；CAP样本多为brand_claim/口述
350,B标准舒适,92,37,27,conditional,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈92人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈37人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈27人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为350㎡=40人事实；CAP样本多为brand_claim/口述
350,C品质高端,92,37,27,no,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈92人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈37人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈27人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为350㎡=40人事实；CAP样本多为brand_claim/口述
400,A紧凑复用,105,43,31,yes,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈105人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈43人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈31人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为400㎡=40人事实；CAP样本多为brand_claim/口述
400,B标准舒适,105,43,31,yes,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈105人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈43人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈31人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为400㎡=40人事实；CAP样本多为brand_claim/口述
400,C品质高端,105,43,31,no,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈105人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈43人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈31人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为400㎡=40人事实；CAP样本多为brand_claim/口述
450,A紧凑复用,118,48,35,yes,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈118人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈48人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈35人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为450㎡=40人事实；CAP样本多为brand_claim/口述
450,B标准舒适,118,48,35,yes,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈118人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈48人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈35人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为450㎡=40人事实；CAP样本多为brand_claim/口述
450,C品质高端,118,48,35,conditional,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈118人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈48人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈35人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为450㎡=40人事实；CAP样本多为brand_claim/口述
500,A紧凑复用,131,54,39,yes,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈131人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈54人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈39人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为500㎡=40人事实；CAP样本多为brand_claim/口述
500,B标准舒适,131,54,39,yes,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈131人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈54人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈39人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为500㎡=40人事实；CAP样本多为brand_claim/口述
500,C品质高端,131,54,39,conditional,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈131人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈54人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈39人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为500㎡=40人事实；CAP样本多为brand_claim/口述
600,A紧凑复用,157,64,47,yes,学习/就餐分时复用；活动并入学习；午休可用双层床压缩足迹；厨房仍独立,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈157人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈64人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈47人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按A紧凑复用布局逻辑评估suitable_40(该逻辑40人需求≈185.4㎡)；禁止解读为600㎡=40人事实；CAP样本多为brand_claim/口述
600,B标准舒适,157,64,47,yes,就餐与学习宜相对独立；允许轻度分批就餐；午休单层床,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈157人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈64人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈47人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按B标准舒适布局逻辑评估suitable_40(该逻辑40人需求≈370.0㎡)；禁止解读为600㎡=40人事实；CAP样本多为brand_claim/口述
600,C品质高端,157,64,47,yes,各功能独立；不依赖复用；加宽疏散与活动,legal_allowed:山东鲁政办发〔2026〕8号未规定生均㎡(REG_SD_001)，合法与否不由本表㎡直接判定(仍受消防/食品/场所禁止约束)；physical_max≈157人(工程极限强度3.8㎡/人，model_assumption)；standard_comfort≈64人(按B≈9.2㎡/人)；quality_ops_recommended/premium≈47人(按C≈12.6㎡/人)；外省4㎡/人(海口/深圳)仅planning_reference不可当山东法条；brand_claim(如贝尔招商面积档)不作容量定律,model_assumption,本行按C品质高端布局逻辑评估suitable_40(该逻辑40人需求≈505.0㎡)；禁止解读为600㎡=40人事实；CAP样本多为brand_claim/口述
