model_id,model_name,zone,calc_basis,area_sqm,per_person_or_note,assumption_flag,source_refs,notes
A,A紧凑复用,墙体柱网损耗,隔墙/柱网/不能利用边角≈净功能区×0.12,22.0,损耗系数0.12假设,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.2×0.6m 双层架子床/叠叠床，40床位≈20个地面足迹；模型合计约185.4㎡(规划模型非实测)
A,A紧凑复用,合计_规划建筑需求,各功能区之和(含墙体柱网损耗)；分时复用已在就餐/活动区扣减,185.4,约4.63㎡/人(毛需求),model_assumption,sum_of_zones,禁止把任意单一毛面积直接等同40人；本合计仅A紧凑复用逻辑下40人全日需求
B,B标准舒适,午休,床足迹40×1.5×0.7=42 + 床间过道0.8×40=32 + 储物0.25×40=10 + 进出8,92.0,约2.3㎡/人；床尺寸假设1.5×0.7,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,学习,单人桌椅舒适1.5㎡×40,60.0,1.5㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,就餐,40座同时或30座+少量分批；1.2㎡/座×40,48.0,1.2㎡/人；与学习可部分分时但不按全复用,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,厨房,标准热厨+冷藏区+留样柜位,25.0,固定偏大,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,卫生间,3-4厕位分性别,15.0,约0.375㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,洗手,多龙头洗手+消毒,8.0,约0.2㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,办公室,独立办公室+家长接待角,12.0,固定,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,储物,被褥/教材/物资分仓,15.0,约0.375㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,活动,小型阅读/游戏角,20.0,0.5㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,走道疏散,独立走廊+双出口缓冲≈净×0.12,40.0,,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,墙体柱网损耗,隔墙/柱网损耗系数0.12,35.0,损耗系数0.12假设,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层床，一人一床独立足迹；模型合计约370.0㎡(规划模型非实测)
B,B标准舒适,合计_规划建筑需求,各功能区之和(含墙体柱网损耗)；分时复用已在就餐/活动区扣减,370.0,约9.25㎡/人(毛需求),model_assumption,sum_of_zones,禁止把任意单一毛面积直接等同40人；本合计仅B标准舒适逻辑下40人全日需求
C,C品质高端,午休,床有效1.2㎡×40=48 + 加宽过道1.0×40=40 + 储物15 + 进出12,115.0,约2.9㎡/人；床尺寸假设1.5×0.7(加宽过道),model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,学习,舒适课桌+通道2.0㎡×40,80.0,2.0㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,就餐,全员同时就餐1.5㎡×40,60.0,1.5㎡/人；不依赖复用,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,厨房,明厨亮灶+排烟完备+备餐间,35.0,固定偏大,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,卫生间,分性别多厕位+清洁间,20.0,0.5㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,洗手,多点洗手消毒,12.0,0.3㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,办公室,独立办公开会+家长室,18.0,固定,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,储物,分区仓储,20.0,0.5㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,活动,独立活动/阅读室,40.0,1.0㎡/人,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,走道疏散,宽走廊+双安全出口,55.0,,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,墙体柱网损耗,隔墙/造型墙/柱网损耗系数0.12,50.0,损耗系数0.12假设,model_assumption,engineering_bottom_up; bed/aisle method NOT mattress*40; samples CAP_* are brand_claim/oral not capacity law,40人全日含午休规划；床假设:1.5×0.7m 单层+加宽过道；或局部1.8×0.8；模型合计约505.0㎡(规划模型非实测)
C,C品质高端,合计_规划建筑需求,各功能区之和(含墙体柱网损耗)；分时复用已在就餐/活动区扣减,505.0,约12.62㎡/人(毛需求),model_assumption,sum_of_zones,禁止把任意单一毛面积直接等同40人；本合计仅C品质高端逻辑下40人全日需求
