opex_id,students,line_item,amount_cny_month,cash_or_accounting,variable_or_fixed,calc_basis,source_refs,assumption_flag,notes
OX_20_0012,20,日常营销地推,1300,cash,variable,维持招生,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0013,20,维修维保,500,cash,variable,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0014,20,杂费交通通讯,600,cash,fixed,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0015,20,装修设备折旧(会计),6319,accounting,fixed,假设标准档硬装设备约250×1300×70%/36月直线,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_20_0016,20,税费附加(会计估),900,accounting,variable,按示意营收n×1500×3%粗估(非税务意见),model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0017,30,租金,8400,cash,fixed,中位大面积租金假设30元/㎡/月×代理面积280㎡(随人数分档代理，非选址结论),large_space_rent_samples中位约32.5;v2约30.6,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0018,30,物业费,840,cash,fixed,280×3元/㎡/月,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0019,30,水电燃气,3050,cash,variable,底数2000+30×35,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0020,30,人工_托管老师,12000,cash,semi_fixed,3人×4000；配比约1:10；锚labor中位,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0021,30,人工_厨师,5000,cash,semi_fixed,1人×5000；锚lab_009/014,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0022,30,人工_生活老师,0,cash,semi_fixed,0人×3500；n<40为0,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0023,30,食材配餐,6600,cash,variable,30人×10元/天×22天；锚D_food_cost_7_3量级,batch2_D_cost_benchmarks,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0024,30,社保公积金雇主部分,4250,cash,semi_fixed,按应发工资×25%雇主成本粗估,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0025,30,责任险/食安险,800,cash,fixed,公开保费缺失(D_ins_missing)→量级假设,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0026,30,宽带网络,300,cash,fixed,企业宽带,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0027,30,耗材清洁用品,740,cash,variable,500+30×8,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0028,30,日常营销地推,1450,cash,variable,维持招生,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0029,30,维修维保,550,cash,variable,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0030,30,杂费交通通讯,600,cash,fixed,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0031,30,装修设备折旧(会计),7077,accounting,fixed,假设标准档硬装设备约280×1300×70%/36月直线,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_30_0032,30,税费附加(会计估),1350,accounting,variable,按示意营收n×1500×3%粗估(非税务意见),model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0033,40,租金,9600,cash,fixed,中位大面积租金假设30元/㎡/月×代理面积320㎡(随人数分档代理，非选址结论),large_space_rent_samples中位约32.5;v2约30.6,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0034,40,物业费,960,cash,fixed,320×3元/㎡/月,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0035,40,水电燃气,3400,cash,variable,底数2000+40×35,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0036,40,人工_托管老师,12000,cash,semi_fixed,3人×4000；配比约1:13；锚labor中位,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0037,40,人工_厨师,5000,cash,semi_fixed,1人×5000；锚lab_009/014,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0038,40,人工_生活老师,3500,cash,semi_fixed,1人×3500；n<40为0,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0039,40,食材配餐,8800,cash,variable,40人×10元/天×22天；锚D_food_cost_7_3量级,batch2_D_cost_benchmarks,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0040,40,社保公积金雇主部分,5125,cash,semi_fixed,按应发工资×25%雇主成本粗估,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0041,40,责任险/食安险,800,cash,fixed,公开保费缺失(D_ins_missing)→量级假设,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0042,40,宽带网络,300,cash,fixed,企业宽带,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0043,40,耗材清洁用品,820,cash,variable,500+40×8,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0044,40,日常营销地推,1600,cash,variable,维持招生,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0045,40,维修维保,600,cash,variable,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0046,40,杂费交通通讯,600,cash,fixed,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0047,40,装修设备折旧(会计),8088,accounting,fixed,假设标准档硬装设备约320×1300×70%/36月直线,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_40_0048,40,税费附加(会计估),1800,accounting,variable,按示意营收n×1500×3%粗估(非税务意见),model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0049,50,租金,11400,cash,fixed,中位大面积租金假设30元/㎡/月×代理面积380㎡(随人数分档代理，非选址结论),large_space_rent_samples中位约32.5;v2约30.6,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0050,50,物业费,1140,cash,fixed,380×3元/㎡/月,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0051,50,水电燃气,3750,cash,variable,底数2000+50×35,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0052,50,人工_托管老师,16000,cash,semi_fixed,4人×4000；配比约1:12；锚labor中位,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0053,50,人工_厨师,5000,cash,semi_fixed,1人×5000；锚lab_009/014,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0054,50,人工_生活老师,3500,cash,semi_fixed,1人×3500；n<40为0,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0055,50,食材配餐,11000,cash,variable,50人×10元/天×22天；锚D_food_cost_7_3量级,batch2_D_cost_benchmarks,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0056,50,社保公积金雇主部分,6125,cash,semi_fixed,按应发工资×25%雇主成本粗估,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0057,50,责任险/食安险,1200,cash,fixed,公开保费缺失(D_ins_missing)→量级假设,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0058,50,宽带网络,300,cash,fixed,企业宽带,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0059,50,耗材清洁用品,900,cash,variable,500+50×8,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0060,50,日常营销地推,1750,cash,variable,维持招生,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0061,50,维修维保,650,cash,variable,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0062,50,杂费交通通讯,600,cash,fixed,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0063,50,装修设备折旧(会计),9605,accounting,fixed,假设标准档硬装设备约380×1300×70%/36月直线,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_50_0064,50,税费附加(会计估),2250,accounting,variable,按示意营收n×1500×3%粗估(非税务意见),model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0065,60,租金,12600,cash,fixed,中位大面积租金假设30元/㎡/月×代理面积420㎡(随人数分档代理，非选址结论),large_space_rent_samples中位约32.5;v2约30.6,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0066,60,物业费,1260,cash,fixed,420×3元/㎡/月,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0067,60,水电燃气,4100,cash,variable,底数2000+60×35,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0068,60,人工_托管老师,20000,cash,semi_fixed,5人×4000；配比约1:12；锚labor中位,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0069,60,人工_厨师,5000,cash,semi_fixed,1人×5000；锚lab_009/014,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0070,60,人工_生活老师,3500,cash,semi_fixed,1人×3500；n<40为0,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0071,60,食材配餐,13200,cash,variable,60人×10元/天×22天；锚D_food_cost_7_3量级,batch2_D_cost_benchmarks,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0072,60,社保公积金雇主部分,7125,cash,semi_fixed,按应发工资×25%雇主成本粗估,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0073,60,责任险/食安险,1200,cash,fixed,公开保费缺失(D_ins_missing)→量级假设,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0074,60,宽带网络,300,cash,fixed,企业宽带,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0075,60,耗材清洁用品,980,cash,variable,500+60×8,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0076,60,日常营销地推,1900,cash,variable,维持招生,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0077,60,维修维保,700,cash,variable,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0078,60,杂费交通通讯,600,cash,fixed,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0079,60,装修设备折旧(会计),10616,accounting,fixed,假设标准档硬装设备约420×1300×70%/36月直线,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_60_0080,60,税费附加(会计估),2700,accounting,variable,按示意营收n×1500×3%粗估(非税务意见),model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0081,80,租金,15000,cash,fixed,中位大面积租金假设30元/㎡/月×代理面积500㎡(随人数分档代理，非选址结论),large_space_rent_samples中位约32.5;v2约30.6,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0082,80,物业费,1500,cash,fixed,500×3元/㎡/月,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0083,80,水电燃气,4800,cash,variable,底数2000+80×35,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0084,80,人工_托管老师,24000,cash,semi_fixed,6人×4000；配比约1:13；锚labor中位,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0085,80,人工_厨师,10000,cash,semi_fixed,2人×5000；锚lab_009/014,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0086,80,人工_生活老师,7000,cash,semi_fixed,2人×3500；n<40为0,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0087,80,食材配餐,17600,cash,variable,80人×10元/天×22天；锚D_food_cost_7_3量级,batch2_D_cost_benchmarks,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0088,80,社保公积金雇主部分,10250,cash,semi_fixed,按应发工资×25%雇主成本粗估,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0089,80,责任险/食安险,1800,cash,fixed,公开保费缺失(D_ins_missing)→量级假设,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0090,80,宽带网络,300,cash,fixed,企业宽带,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0091,80,耗材清洁用品,1140,cash,variable,500+80×8,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0092,80,日常营销地推,2200,cash,variable,维持招生,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0093,80,维修维保,800,cash,variable,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0094,80,杂费交通通讯,600,cash,fixed,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0095,80,装修设备折旧(会计),12638,accounting,fixed,假设标准档硬装设备约500×1300×70%/36月直线,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_80_0096,80,税费附加(会计估),3600,accounting,variable,按示意营收n×1500×3%粗估(非税务意见),model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0097,100,租金,18000,cash,fixed,中位大面积租金假设30元/㎡/月×代理面积600㎡(随人数分档代理，非选址结论),large_space_rent_samples中位约32.5;v2约30.6,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0098,100,物业费,1800,cash,fixed,600×3元/㎡/月,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0099,100,水电燃气,5500,cash,variable,底数2000+100×35,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0100,100,人工_托管老师,32000,cash,semi_fixed,8人×4000；配比约1:12；锚labor中位,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0101,100,人工_厨师,10000,cash,semi_fixed,2人×5000；锚lab_009/014,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0102,100,人工_生活老师,7000,cash,semi_fixed,2人×3500；n<40为0,labor_cost_2026,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0103,100,食材配餐,22000,cash,variable,100人×10元/天×22天；锚D_food_cost_7_3量级,batch2_D_cost_benchmarks,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0104,100,社保公积金雇主部分,12250,cash,semi_fixed,按应发工资×25%雇主成本粗估,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0105,100,责任险/食安险,1800,cash,fixed,公开保费缺失(D_ins_missing)→量级假设,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0106,100,宽带网络,300,cash,fixed,企业宽带,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0107,100,耗材清洁用品,1300,cash,variable,500+100×8,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0108,100,日常营销地推,2500,cash,variable,维持招生,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0109,100,维修维保,900,cash,variable,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0110,100,杂费交通通讯,600,cash,fixed,,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0111,100,装修设备折旧(会计),15166,accounting,fixed,假设标准档硬装设备约600×1300×70%/36月直线,model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
OX_100_0112,100,税费附加(会计估),4500,accounting,variable,按示意营收n×1500×3%粗估(非税务意见),model_assumption,model_assumption,规划模型非实测；租金标签=中位大面积租金假设非某铺成交价
